rank,brands,mean_rating,perc_na,brands
1,Versace,8.75,0.04,Versace
2,Prada,8.66,0.03,Prada
3,Gucci,8.64,0.00,Gucci
4,Chanel,8.47,0.02,Chanel
5,Louis Vuitton International,8.43,0.02,Louis Vuitton International
6,Christian Louboutin,8.19,0.25,Christian Louboutin
7,Dior,8.17,0.05,Dior
8,Balenciaga,8.14,0.25,Balenciaga
9,Fendi,8.09,0.20,Fendi
10,Burberry,8.02,0.16,Burberry
11,Dolce & Gabbana,8.01,0.10,Dolce & Gabbana
12,GIVENCHY,8.00,0.26,GIVENCHY
13,Valentino,7.82,0.25,Valentino
14,Saint Laurent,7.53,0.22,Saint Laurent
15,Armani Exchange (A/X),7.49,0.17,Armani Exchange (A/X)
16,Vera Wang,7.44,0.12,Vera Wang
17,Michael Kors,7.20,0.12,Michael Kors
18,Calvin Klein,7.10,0.01,Calvin Klein
19,Kate Spade,7.10,0.15,Kate Spade
20,Ralph Lauren,7.04,0.02,Ralph Lauren
21,Hugo Boss,7.03,0.19,Hugo Boss
22,Patagonia,7.00,0.12,Patagonia
23,Tory Burch,6.75,0.38,Tory Burch
24,Lacoste,6.63,0.18,Lacoste
25,lululemon athletica,6.60,0.16,lululemon athletica
26,Eddie Bauer,6.49,0.12,Eddie Bauer
27,Jos. A. Bank Clothiers,6.48,0.30,Jos. A. Bank Clothiers
28,Victoria's Secret,6.41,0.00,Victoria's Secret
29,Brooks Brothers,6.37,0.24,Brooks Brothers
30,Tommy Hilfiger,6.36,0.03,Tommy Hilfiger
31,Cole Haan,6.32,0.38,Cole Haan
32,Anthropologie,6.22,0.21,Anthropologie
33,Ann Taylor,6.16,0.16,Ann Taylor
34,Columbia Sportswear,6.15,0.09,Columbia Sportswear
35,Abercrombie,6.14,0.05,Abercrombie
36,White House Black Market,6.11,0.42,White House Black Market
37,Christopher & Banks,6.11,0.44,Christopher & Banks
38,G By GUESS,6.09,0.22,G By GUESS
39,L.L.Bean,6.03,0.08,L.L.Bean
40,Zara,6.00,0.28,Zara
41,New York & Company,6.00,0.30,New York & Company
42,Nordstrom Rack,6.00,0.07,Nordstrom Rack
43,Banana Republic,5.94,0.03,Banana Republic
44,DKNY,5.89,0.20,DKNY
45,Nautica,5.89,0.10,Nautica
46,Land's End,5.87,0.19,Land's End
47,LOFT,5.86,0.33,LOFT
48,Athleta,5.84,0.33,Athleta
49,Van Heusen,5.84,0.28,Van Heusen
50,GUESS Factory,5.81,0.14,GUESS Factory
51,vineyard vines,5.80,0.38,vineyard vines
52,David's Bridal,5.77,0.19,David's Bridal
53,Talbots,5.76,0.22,Talbots
54,GUESS,5.73,0.09,GUESS
55,Aéropostale,5.70,0.13,Aéropostale
56,Hollister,5.69,0.16,Hollister
57,J.Crew,5.68,0.06,J.Crew
58,True Religion Apparel,5.68,0.39,True Religion Apparel
59,Lucky Brand,5.61,0.22,Lucky Brand
60,U.S. Polo Assn.,5.60,0.13,U.S. Polo Assn.
61,Levi Strauss & Co.,5.59,0.03,Levi Strauss & Co.
62,Tommy Bahama,5.56,0.19,Tommy Bahama
63,Under Armour,5.52,0.00,Under Armour
64,Express,5.42,0.22,Express
65,Urban Outfitters,5.42,0.02,Urban Outfitters
66,DIESEL,5.38,0.35,DIESEL
67,Carter's,5.37,0.32,Carter's
68,The Men's Wearhouse,5.32,0.08,The Men's Wearhouse
69,Hurley,5.30,0.29,Hurley
70,American Eagle Outfitters,5.28,0.00,American Eagle Outfitters
71,Lane Bryant,5.28,0.19,Lane Bryant
72,LOFT Outlet,5.27,0.34,LOFT Outlet
73,Gap,5.27,0.01,Gap
74,Carhartt,5.26,0.29,Carhartt
75,IZOD,5.23,0.19,IZOD
76,Coldwater Creek,5.22,0.41,Coldwater Creek
77,Chico's,5.20,0.31,Chico's
78,Fabletics,5.19,0.29,Fabletics
79,OshKosh B'gosh,5.12,0.18,OshKosh B'gosh
80,PacSun,5.08,0.25,PacSun
81,Quiksilver,5.02,0.37,Quiksilver
82,H&M (Hennes & Mauritz),4.96,0.12,H&M (Hennes & Mauritz)
83,Volcom,4.89,0.42,Volcom
84,Jockey,4.83,0.24,Jockey
85,Express Factory Outlet,4.80,0.25,Express Factory Outlet
86,The Children's Place,4.74,0.19,The Children's Place
87,Champion,4.72,0.05,Champion
88,Ron John Surf Shop,4.65,0.37,Ron John Surf Shop
89,LIDS,4.56,0.25,LIDS
90,Charlotte Russe,4.50,0.32,Charlotte Russe
91,maurices,4.43,0.41,maurices
92,Justice,4.36,0.34,Justice
93,rue21,4.18,0.21,rue21
94,Chico's Off The Rack,4.13,0.41,Chico's Off The Rack
95,Old Navy,4.05,0.01,Old Navy
96,Forever 21,3.95,0.02,Forever 21
97,Hanesbrands,3.86,0.19,Hanesbrands
98,Dressbarn,3.72,0.26,Dressbarn
99,Hot Topic,3.47,0.08,Hot Topic
100,Claire's,3.40,0.05,Claire's
